feature_id	bikelane_length_km	mway_length_km	roads_km	slope	sndi	wt_density	density	pop	sndi_cars	sndi_difference
0x85920644fbcf9c2f:0x9449731c55bedc39	0.0	0.0	133.132	2.2645512336054763	3.193373901086754	4799.609199134095	3561.7253718120046	32055.52834630804	3.352708019200742	0.15933411811398823
0x31cf148d79ac4dfb:0x7189f6db57736bb6	0.0	0.0	1233.4	2.213485904871613	5.030575031317256	1252.5485176842835	33.56944853482898	73919.92567369342	5.253730985447049	0.22315595412979317
0x321805627c6e0ded:0x4b308e12017a525d	0.0	0.0	771.619	18.936202801969607	10.4933650448718	1257.5553546762212	9.291557267598346	30931.594143834896	10.627032062152905	0.13366701728110542
0x33af146608ed1971:0x721c9692828265d4	0.0	0.0	438.466	5.267432119385704	6.580566839049691	1572.1238202188897	430.7579315964592	94335.98701962456	6.783816352198615	0.2032495131489238
0xe37e559a78d55a5:0x6071ca3ac1b3a767	0.0	0.0	294.768	0.5592637629798282	1.2045804647624974	5543.5794100696085	4726.735482915743	80354.50320956763	1.2046896301715675	0.00010916540907013328
0x393583089886e32f:0xc6fd359d11895025	0.0	0.0	90.635	0.3329501357703163	3.506028614396387	15030.00978600522	5136.892295778862	71916.49214090407	3.506586363148199	0.0005577487518122481
0x14f70b09d93af06b:0xc6f87389731fb93	0.0	0.0	147.055	0.5547059320711664	2.089342704626232	18841.64573360437	15219.146757121383	76095.73378560692	2.119910039637053	0.030567335010821317
0x39f92130bd25cdf3:0x4d61e6ef36758489	0.0	0.0	7.196	0.4259261701362473	1.5685380398684474	1769.2335167744257	1364.4706917877	12280.2362260893	1.5685380398684474	0.0
0x2e6ee01d03f0b00f:0x9bae52b5f6b525e2	0.0	0.0	151.428	1.4075620545930154	5.27854449012534	4300.827604417628	3784.410236819531	60550.56378911249	5.326910200204958	0.04836571007961776
0x7065ec37bf2bc71:0x1eb4b22c0a2eb5b4	0.0	0.0	216.679	4.978899446273516	2.4348036407614213	5064.516099461203	2226.613174899117	51212.10302267969	2.51072294387966	0.0759193031182388
0x374938b026652c43:0xaf68dceae897be35	0.0	0.0	85.279	2.7192536309433617	2.721460813475084	9008.999740327788	2638.544268787262	55409.4296445325	3.121968509984213	0.40050769650912876
0x3bbfc7f3635e9997:0x5f896b7ce330450e	0.0	0.0	98.376	4.711804115540021	5.030611682487095	6382.999171341601	3854.752941213445	69385.552941842	5.096915429918722	0.06630374743162726
0x8f665f93cb0e8e5d:0xf3d686cd597e2c85	0.0	0.0	182.259	5.438891143243537	2.621950413019676	5656.261428518912	4361.801491222344	43618.01491222344	2.6344418317534526	0.012491418733776793
0x31c9315b023262e3:0x1b512c79c5fcd5d4	0.0	0.0	526.278	3.035936241868115	3.6751373373492746	1412.4229630777595	121.34768290624356	73051.30510955863	4.371968196496994	0.696830859147719
0x39ec10cbba7786c3:0xcbbb4f8654a21194	0.0	0.0	164.139	1.3147182872008747	5.0807717744932335	1274.8737786624315	498.2146579527788	44341.10455779731	5.410276728468644	0.3295049539754107
0x399f351b50138a0f:0xff6fe2086bfb6c70	0.0	0.0	397.854	0.6339805629385177	3.4133198087587693	25739.486656659246	19067.133943942936	381342.6788788587	3.4289942255271484	0.015674416768379107
0x339185237a4c4e1f:0xe494007c38de8ca5	0.0	0.0	187.432	7.032994483823773	6.914867139332631	3443.592814901536	936.6355776925992	68374.39717155974	7.052465129811552	0.13759799047892152
0x31b30473fa399ba5:0x40223bc2c384790	0.0	0.0	136.4	0.3946929840554654	5.679376938690709	3882.427685814935	2032.2195556575125	36579.95200183522	6.014401351355474	0.33502441266476524
0x32ff99f7df9b05e1:0x8aafb4f93f3fc1d3	0.0	0.0	381.2	16.90351309312975	7.505385083108481	985.2548374447842	145.80585663447837	55114.61380783282	7.602314179621235	0.09692909651275361
0x3bd1d66bb9d31721:0x43892c180155daf1	0.0	0.0	1038.678	1.3233208016364597	3.579263505534046	17883.187115649227	7167.830953054481	759790.081023775	3.6014808366997144	0.022217331165668597
0x104393fbdfee2e53:0x43e2932fb4538bff	0.0	0.0	75.687	4.760699061410768	4.092977747414575	19687.38477501267	17131.551912509436	119920.86338756606	4.089256865208925	-0.0037208822056502555
0x1ee8f8741a98c6c5:0x5075e6ff53193066	0.0	0.0	196.923	7.695149847170682	3.018314927546167	5466.064105728287	1610.1496986128984	46694.34125977405	3.2765641380421995	0.25824921049603233
0xeea36f104bda697:0x6d0196a35af59a6e	0.0	0.0	247.384	0.5065149768359132	1.281508303840825	7329.492203615458	5626.740504357188	67520.88605228625	1.3099162927919084	0.02840798895108332
0x338e19ee2e7469cd:0x407b3a871eb1107	0.0	0.0	261.911	4.3284817363089445	6.037478064709466	2054.747558621956	812.464014477653	66622.04918716755	6.084551452704333	0.0470733879948666
0x39f0b7b4985d6179:0x9c3a3b726f103305	0.0	0.0	186.276	2.098529951956979	2.0104311965685357	13726.814623393191	1505.6145974477172	240898.33559163476	2.2890421751567582	0.2786109785882225
0x32f8860f17f2319f:0x720256f4517d7d8	0.0	0.0	467.819	1.6326665673871823	6.007521879629717	2218.8117187997814	505.4258709384089	165274.2597968597	6.028074827777837	0.020552948148119476
0x39e481db60003361:0x89ebc3cbb1004d7e	0.0	0.0	102.607	0.3283008742767075	6.084915757651188	1189.3754924980442	868.8314888949195	20851.95573347807	6.126811003495644	0.04189524584445614
0x85f2ea75bbce0497:0x81e00fb4c63eb002	0.0	0.0	158.58	4.795590220008577	2.6609155432310496	7635.79328847015	5640.039326825283	50760.35394142754	2.803338479019816	0.1424229357887663
0x8e372470d3ee86eb:0xa3e3b101691f2b6a	0.0	0.0	365.551	1.7597133185338536	3.232326702244226	22347.013577619604	13402.209521193525	375261.8665934186	3.58647391270234	0.35414721045811426
0x39f6dd834a66b9e9:0xd4e0c38020aa3342	0.0	0.0	134.417	1.935491883902685	4.350090836183518	22691.30321768864	14271.225730438358	185525.93449569863	4.362645210721449	0.012554374537931068
0x40e018c8e0e43ddd:0xac72fb0d826798bc	0.0	0.0	235.911	3.7413526521269542	2.1969823370176416	7351.520947045091	3650.779968366027	149681.9787030071	2.86080411827126	0.6638217812536182
0x3bb478a0a0158009:0x68b1f18d54672624	0.0	0.0	388.554	0.4187181090390963	2.7291561353006726	18293.530322433777	6862.661233148915	253918.46562650983	2.741830052001845	0.012673916701172239
