,feature_id,contained
84,0x103bd830183e5ca7:0x8c8fd2fee0967e27,False
85,0x103bd8d0e0df8253:0x61d9c04dd6972c02,False
86,0x103be56b20a95ab1:0xef2d538d8c2950a1,False
87,0x103be96f0f1d8543:0xa096713ddfea8498,True
88,0x103bee62d44ab573:0x44ddf6ea18edfcb3,False
89,0x103bf75df5c74367:0x6a7e7df9d6c1cd4a,False
90,0x1040d36279cfacf1:0x84aa10c05758dfa0,False
91,0x1040e30360cfff65:0xb05d0b8eb35aebd3,False
92,0x10414e56ba75d509:0xfb109346984ce351,False
93,0x10415138fa500ef3:0x833b1ce63e8b6ca1,False
94,0x104171f33d6858f3:0xaccfc2ef7e106f91,False
95,0x10419ab14a8fd9c5:0x1ec027c172efee17,False
96,0x1041b247fe122ab1:0x22e21fb50053e386,False
97,0x1041b2ee387d1067:0x35957f67d789a763,False
98,0x1041b33c1e22bf6b:0xaae5fc1e93ee2904,False
99,0x1041bdd6545ee875:0xf19fb03458c7d51c,False
100,0x1042096950e64131:0xfcd91239984918f6,False
101,0x104258d3ed322a37:0xb9c5da854c6681f2,False
102,0x104299308f30fbf3:0x98345ebf0c8cbca1,False
103,0x1042adf7eb5bf039:0x2478b29885742ad7,False
104,0x1042dcb5a93ef5b7:0x29196baaea6674ab,False
105,0x1042e3e1b316e45d:0xc8df071739be6708,False
106,0x1042e52ac618b2bd:0xa4924ecb25c8ddd4,False
107,0x1042f02f314118f1:0x4aa7b00aaf7fded6,False
108,0x10430a3d04c7d753:0xf8cbfe9bc1101c55,False
109,0x10430dbaa5cbdad3:0xb5124891124404e9,False
110,0x104339750acf94db:0x66d2a3fd32ba8c4f,False
111,0x104382bd8b94e753:0xcf2391eb8abd4753,False
112,0x104392b2b061bd39:0x749611dbcabe9489,False
113,0x104393bed6cb93b7:0xd75544d3750782f7,False
114,0x104393d5165e7a7d:0xb71449aaab84f264,False
115,0x104393fbdfee2e53:0x43e2932fb4538bff,False
116,0x104394c84f0c94af:0xe521c4ff7fb8315d,False
117,0x104395d530e9a52f:0xdb65e197b97cafb6,False
118,0x104398862d64eb59:0xadfe6d13b8ebfbde,False
119,0x1043a1fb4441e8bd:0x3d6a140c2f1d92c1,False
120,0x1043a3bc33571717:0xe2049fecbc0557a9,False
121,0x1043b060998a3857:0xed2e870aab141e0,False
122,0x1043b252dce2ef87:0x88b8e1b92cc4b3dc,False
123,0x1043bd53c91b98b5:0x326cac44e3183674,False
124,0x1044a3cf887d1a25:0x9e342e82908e0c3d,False
125,0x1044c2cf2d093eed:0xd04bdc8c4f0ed5f3,False
126,0x1044dc64c66fb661:0x1a2cff06c21617fc,False
127,0x1044de316f7a0f69:0x2edd0745c0e3abac,False
128,0x1044e6533a040031:0xb0c033de349344d4,False
129,0x1044e71dbe1cdeaf:0xa4a9505759cdab19,False
